ID: 227, Time: 2024-05-29 08:56:00, Type: long, Price: 525.48, Units: 1, Previous Balance: 99994.68000000005, New Balance: 99994.08000000005, Result: loss
ID: 229, Time: 2024-05-29 09:00:00, Type: long, Price: 525.7, Units: 1, Previous Balance: 99994.08000000005, New Balance: 99468.38000000005, Result: trade executed
ID: 231, Time: 2024-05-29 09:56:00, Type: long, Price: 527.03, Units: 1, Previous Balance: 99994.08000000005, New Balance: 99995.41000000005, Result: win
ID: 233, Time: 2024-05-29 10:00:00, Type: long, Price: 527.09, Units: 1, Previous Balance: 99995.41000000005, New Balance: 99468.32000000005, Result: trade executed
ID: 235, Time: 2024-05-29 10:56:00, Type: long, Price: 526.61, Units: 1, Previous Balance: 99995.41000000005, New Balance: 99994.93000000005, Result: loss
ID: 237, Time: 2024-05-29 11:00:00, Type: long, Price: 526.37, Units: 1, Previous Balance: 99994.93000000005, New Balance: 99468.56000000006, Result: trade executed
ID: 239, Time: 2024-05-29 11:56:00, Type: long, Price: 526.86, Units: 1, Previous Balance: 99994.93000000005, New Balance: 99995.42000000006, Result: win
ID: 241, Time: 2024-05-29 12:00:00, Type: long, Price: 526.95, Units: 1, Previous Balance: 99995.42000000006, New Balance: 99468.47000000006, Result: trade executed
ID: 243, Time: 2024-05-29 12:56:00, Type: long, Price: 526.29, Units: 1, Previous Balance: 99995.42000000006, New Balance: 99994.76000000005, Result: loss
ID: 245, Time: 2024-05-29 13:00:00, Type: long, Price: 526.36, Units: 1, Previous Balance: 99994.76000000005, New Balance: 99468.40000000005, Result: trade executed
ID: 247, Time: 2024-05-29 13:56:00, Type: long, Price: 526.29, Units: 1, Previous Balance: 99994.76000000005, New Balance: 99994.69000000005, Result: loss
ID: 249, Time: 2024-05-29 14:00:00, Type: long, Price: 526.42, Units: 1, Previous Balance: 99994.69000000005, New Balance: 99468.27000000005, Result: trade executed
ID: 251, Time: 2024-05-29 14:56:00, Type: long, Price: 526.99, Units: 1, Previous Balance: 99994.69000000005, New Balance: 99995.26000000005, Result: win
ID: 253, Time: 2024-05-29 15:00:00, Type: long, Price: 527.01, Units: 1, Previous Balance: 99995.26000000005, New Balance: 99468.25000000006, Result: trade executed
ID: 255, Time: 2024-05-29 15:56:00, Type: long, Price: 525.11, Units: 1, Previous Balance: 99995.26000000005, New Balance: 99993.36000000006, Result: loss
ID: 257, Time: 2024-05-29 16:00:00, Type: long, Price: 524.99, Units: 1, Previous Balance: 99993.36000000006, New Balance: 99468.37000000005, Result: trade executed
ID: 259, Time: 2024-05-29 16:56:00, Type: long, Price: 524.43, Units: 1, Previous Balance: 99993.36000000006, New Balance: 99992.80000000005, Result: loss
ID: 261, Time: 2024-05-29 17:00:00, Type: long, Price: 524.48, Units: 1, Previous Balance: 99992.80000000005, New Balance: 99468.32000000005, Result: trade executed
ID: 263, Time: 2024-05-29 17:56:00, Type: long, Price: 524.3, Units: 1, Previous Balance: 99992.80000000005, New Balance: 99992.62000000005, Result: loss
ID: 265, Time: 2024-05-29 18:00:00, Type: long, Price: 524.13, Units: 1, Previous Balance: 99992.62000000005, New Balance: 99468.49000000005, Result: trade executed
ID: 267, Time: 2024-05-30 03:56:00, Type: long, Price: 523.58, Units: 1, Previous Balance: 99992.62000000005, New Balance: 99992.07000000005, Result: loss
ID: 269, Time: 2024-05-30 04:00:00, Type: long, Price: 523.66, Units: 1, Previous Balance: 99992.07000000005, New Balance: 99468.41000000005, Result: trade executed
ID: 271, Time: 2024-05-30 04:56:00, Type: long, Price: 523.6, Units: 1, Previous Balance: 99992.07000000005, New Balance: 99992.01000000005, Result: loss
ID: 273, Time: 2024-05-30 05:00:00, Type: long, Price: 523.64, Units: 1, Previous Balance: 99992.01000000005, New Balance: 99468.37000000005, Result: trade executed
ID: 275, Time: 2024-05-30 05:56:00, Type: long, Price: 523.79, Units: 1, Previous Balance: 99992.01000000005, New Balance: 99992.16000000005, Result: win
ID: 277, Time: 2024-05-30 06:00:00, Type: long, Price: 523.82, Units: 1, Previous Balance: 99992.16000000005, New Balance: 99468.34000000004, Result: trade executed
ID: 279, Time: 2024-05-30 06:56:00, Type: long, Price: 523.95, Units: 1, Previous Balance: 99992.16000000005, New Balance: 99992.29000000004, Result: win
ID: 281, Time: 2024-05-30 07:00:00, Type: long, Price: 524.02, Units: 1, Previous Balance: 99992.29000000004, New Balance: 99468.27000000003, Result: trade executed
ID: 283, Time: 2024-05-30 07:56:00, Type: long, Price: 524.67, Units: 1, Previous Balance: 99992.29000000004, New Balance: 99992.94000000003, Result: win
ID: 285, Time: 2024-05-30 08:00:00, Type: long, Price: 524.65, Units: 1, Previous Balance: 99992.94000000003, New Balance: 99468.29000000004, Result: trade executed
ID: 287, Time: 2024-05-30 08:56:00, Type: long, Price: 524.03, Units: 1, Previous Balance: 99992.94000000003, New Balance: 99992.32000000004, Result: loss
ID: 289, Time: 2024-05-30 09:00:00, Type: long, Price: 524.49, Units: 1, Previous Balance: 99992.32000000004, New Balance: 99467.83000000003, Result: trade executed
ID: 291, Time: 2024-05-30 09:56:00, Type: long, Price: 523.74, Units: 1, Previous Balance: 99992.32000000004, New Balance: 99991.57000000004, Result: loss
ID: 293, Time: 2024-05-30 10:00:00, Type: long, Price: 523.4, Units: 1, Previous Balance: 99991.57000000004, New Balance: 99468.17000000004, Result: trade executed
ID: 295, Time: 2024-05-30 10:56:00, Type: long, Price: 524.05, Units: 1, Previous Balance: 99991.57000000004, New Balance: 99992.22000000004, Result: win
ID: 297, Time: 2024-05-30 11:00:00, Type: long, Price: 524.14, Units: 1, Previous Balance: 99992.22000000004, New Balance: 99468.08000000005, Result: trade executed
ID: 299, Time: 2024-05-30 11:56:00, Type: long, Price: 524.36, Units: 1, Previous Balance: 99992.22000000004, New Balance: 99992.44000000005, Result: win
ID: 301, Time: 2024-05-30 12:00:00, Type: long, Price: 524.36, Units: 1, Previous Balance: 99992.44000000005, New Balance: 99468.08000000005, Result: trade executed
ID: 303, Time: 2024-05-30 12:56:00, Type: long, Price: 524.83, Units: 1, Previous Balance: 99992.44000000005, New Balance: 99992.91000000005, Result: win
ID: 305, Time: 2024-05-30 13:00:00, Type: long, Price: 525.04, Units: 1, Previous Balance: 99992.91000000005, New Balance: 99467.87000000005, Result: trade executed
ID: 307, Time: 2024-05-30 13:56:00, Type: long, Price: 523.99, Units: 1, Previous Balance: 99992.91000000005, New Balance: 99991.86000000006, Result: loss
ID: 309, Time: 2024-05-30 14:00:00, Type: long, Price: 523.94, Units: 1, Previous Balance: 99991.86000000006, New Balance: 99467.92000000006, Result: trade executed
ID: 311, Time: 2024-05-30 14:56:00, Type: long, Price: 522.7, Units: 1, Previous Balance: 99991.86000000006, New Balance: 99990.62000000005, Result: loss
ID: 313, Time: 2024-05-30 15:00:00, Type: long, Price: 522.52, Units: 1, Previous Balance: 99990.62000000005, New Balance: 99468.10000000005, Result: trade executed
ID: 315, Time: 2024-05-30 15:56:00, Type: long, Price: 522.25, Units: 1, Previous Balance: 99990.62000000005, New Balance: 99990.35000000005, Result: loss
ID: 317, Time: 2024-05-30 16:00:00, Type: long, Price: 522.31, Units: 1, Previous Balance: 99990.35000000005, New Balance: 99468.04000000005, Result: trade executed
ID: 319, Time: 2024-05-30 17:56:00, Type: long, Price: 522.13, Units: 1, Previous Balance: 99990.35000000005, New Balance: 99990.17000000006, Result: loss
ID: 321, Time: 2024-05-30 18:00:00, Type: long, Price: 522.19, Units: 1, Previous Balance: 99990.17000000006, New Balance: 99467.98000000005, Result: trade executed
ID: 323, Time: 2024-05-30 18:56:00, Type: long, Price: 521.93, Units: 1, Previous Balance: 99990.17000000006, New Balance: 99989.91000000005, Result: loss
ID: 325, Time: 2024-05-30 19:00:00, Type: long, Price: 521.92, Units: 1, Previous Balance: 99989.91000000005, New Balance: 99467.99000000005, Result: trade executed
ID: 327, Time: 2024-05-31 03:56:00, Type: long, Price: 522.57, Units: 1, Previous Balance: 99989.91000000005, New Balance: 99990.56000000006, Result: win
ID: 329, Time: 2024-05-31 04:00:00, Type: long, Price: 522.51, Units: 1, Previous Balance: 99990.56000000006, New Balance: 99468.05000000006, Result: trade executed
ID: 331, Time: 2024-05-31 04:56:00, Type: long, Price: 521.93, Units: 1, Previous Balance: 99990.56000000006, New Balance: 99989.98000000005, Result: loss
ID: 333, Time: 2024-05-31 05:00:00, Type: long, Price: 521.9, Units: 1, Previous Balance: 99989.98000000005, New Balance: 99468.08000000006, Result: trade executed
ID: 335, Time: 2024-05-31 05:56:00, Type: long, Price: 521.48, Units: 1, Previous Balance: 99989.98000000005, New Balance: 99989.56000000006, Result: loss
ID: 337, Time: 2024-05-31 06:00:00, Type: long, Price: 521.65, Units: 1, Previous Balance: 99989.56000000006, New Balance: 99467.91000000006, Result: trade executed
ID: 339, Time: 2024-05-31 06:56:00, Type: long, Price: 522.03, Units: 1, Previous Balance: 99989.56000000006, New Balance: 99989.94000000006, Result: win
